"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Results per page"
"%s-%s of %s","%s-%s of %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","View Details"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Zip/Postal Code","Zip"
"Discount Codes?","Discount Codes?"
"###","Customer Module"
"Registration is free and easy!","Registration is free and easy!"
"Faster checkout","Faster checkout"
"Save multiple shipping addresses","Save multiple shipping addresses"
"View and track orders and more","View and track orders and more"
"Cart", "Basket"
"View Cart", "View Basket"
"Add to Cart", "Add to Basket"
"View Shopping Cart", "View Shopping Basket"
"Cart Subtotal", "Basket Subtotal"
"Shopping Cart", "Shopping Basket"
"Update Shopping Cart", "Update Shopping Basket"
"Empty Cart", "Empty Basket"
"More Views", ""
"Search entire store here...", "Search our range of products here..."